id,name,apple,google,lon,lat,auid,city,zip,distance,elevation,comments
23,Iron Mountain Trail,https://maps.apple.com/?auid=6566101934350929308,"https://www.google.com/maps/place/32.978282,-116.972595",-116.972595,32.978282,6566101934350929308,Poway,92064,5.2,1102,
24,Lake Hodges - North Shore,"https://maps.apple.com/?ll=33.06283778223582,-117.11994159441899&q=Lake%20Hodges%20-%20North%20Shore","https://www.google.com/maps/place/33.06283778223582,-117.11994159441899",-117.119942,33.062838,,Escondido,92029,4.6,167,Head west towards the dam.
25,Lusardi Loop Trail,https://maps.apple.com/?auid=11843003727474568838,"https://www.google.com/maps/place/33.004462,-117.163739",-117.163739,33.004462,11843003727474568838,San Diego,92127,9.2,1115,Multiple options for elevation and distance.
26,Los Jilgueros,"https://maps.apple.com/?ll=33.353678337245924,-117.24535847109847&q=Los%20Jilgueros","https://www.google.com/maps/place/33.353678337245924,-117.24535847109847",-117.245358,33.353678,,Fallbrook,92028,1.2,62,
27,Love Valley,"https://maps.apple.com/?ll=33.264057199185444,-116.77389639048505&q=Love%20Valley","https://www.google.com/maps/place/33.264057199185444,-116.77389639048505",-116.773896,33.264057,,county,92070,3,396,
28,Lower Doan Valley and French Valley,"https://maps.apple.com/?ll=33.341965670570715,-116.90131774718267&q=Lower%20Doan%20Valley%20and%20French%20Valley","https://www.google.com/maps/place/33.341965670570715,-116.90131774718267",-116.901318,33.341966,,Palomar,92061,4,450,Multiple trails to choose within State Park.
29,Monserate Mountain Trail,https://maps.apple.com/?auid=1945840914501037067,"https://www.google.com/maps/place/33.366059,-117.158852",-117.158852,33.366059,1945840914501037067,Fallbrook,92028,4.1,1381,Try the whole loop including past the water tower.
30,Mt Gower Trail,"https://maps.apple.com/?ll=33.02650016330168,-116.79271260068359&q=Mt%20Gower%20Trail","https://www.google.com/maps/place/33.02650016330168,-116.79271260068359",-116.792713,33.0265,,Ramona,92065,9,2178,
31,Mule Deer Trail to Denk Mountain,"https://maps.apple.com/?ll=33.08838385430518,-117.22373727187212&q=Mule%20Deer%20Trail%20to%20Denk%20Mountain","https://www.google.com/maps/place/33.08838385430518,-117.22373727187212",-117.223737,33.088384,,San Marcos,92078,4.5,790,Multiple starting points and trails in this area.
32,Mule Hill Trail,"https://maps.apple.com/?ll=33.067628476399776,-117.06568569690269&q=Mule%20Hill%20Trail","https://www.google.com/maps/place/33.067628476399776,-117.06568569690269",-117.065686,33.067628,,Escondido,92025,6.3,131,Trail heads east from parking lot
33,Observatory Trail Overlook,"https://maps.apple.com/?ll=33.344809164698304,-116.87157865146013&q=Observatory%20Trail%20Overlook","https://www.google.com/maps/place/33.344809164698304,-116.87157865146013",-116.871579,33.344809,,Palomar,92060,5,1000,
34,Pamo Valley,"https://maps.apple.com/?ll=33.10439356455478,-116.85680414084447&q=Pamo%20Valley","https://www.google.com/maps/place/33.10439356455478,-116.85680414084447",-116.856804,33.104394,,Ramona,92065,6.6,450,Head north along Pamo Road
35,Paradise Mountain Trail,"https://maps.apple.com/?ll=33.21658697675208,-116.9341893750136&q=Paradise%20Mountain%20Trail","https://www.google.com/maps/place/33.21658697675208,-116.9341893750136",-116.934189,33.216587,,Valley Center,92082,8.2,1860,Do not hike in the summer months.
36,Piedras Pintadas Trailhead,https://maps.apple.com/?auid=16356544923531200903,"https://www.google.com/maps/place/33.051587,-117.076771",-117.076771,33.051587,16356544923531200903,San Diego,92127,3.7,295,
37,Questhaven Road Nature Trail,"https://maps.apple.com/?ll=33.07986944465701,-117.16570964907655&q=Questhaven%20Road%20Nature%20Trail","https://www.google.com/maps/place/33.07986944465701,-117.16570964907655",-117.16571,33.079869,,Escondido,92029,2.7,485,Multiple trails to choose.
38,Rancho Gaujome Adobe,https://maps.apple.com/?auid=1494030983962083328,"https://www.google.com/maps/place/33.233398,-117.254078",-117.254078,33.233398,1494030983962083328,Vista,92083,2,122,
39,Raptor Ridge,https://maps.apple.com/?auid=10801179241501875318,"https://www.google.com/maps/place/33.06227,-117.030144",-117.030144,33.06227,10801179241501875318,Escondido,92025,4.6,419,"Trailhead is across Highland Valley Road, heading northeast"
40,Santa Fe Valley Trail,https://maps.apple.com/?auid=3660295012283377982,"https://www.google.com/maps/place/33.039892,-117.156813",-117.156813,33.039892,3660295012283377982,San Diego,92127,4.4,439,Head west to the utility tower.
41,Santa Margarita County Preserve,https://maps.apple.com/?auid=12098543904699548467,"https://www.google.com/maps/place/33.41323,-117.241544",-117.241544,33.41323,12098543904699548467,Fallbrook,92028,5.2,534,
42,Santa Ysabel Open Space Preserve East,"https://maps.apple.com/?ll=33.12693483093901,-116.67854263106088&q=Santa%20Ysabel%20Open%20Space%20Preserve%20East","https://www.google.com/maps/place/33.12693483093901,-116.67854263106088",-116.678543,33.126935,,Santa Ysabel,92070,4.2,950,
43,Santa Ysabel Open Space Preserve West,https://maps.apple.com/?auid=2115420227603427949,"https://www.google.com/maps/place/33.102635,-116.696105",-116.696105,33.102635,2115420227603427949,Santa Ysabel,92065,5.5,1350,
44,Sycamore Canyon Preserve,"https://maps.apple.com/?ll=32.94085258882723,-116.98058761522034&q=Sycamore%20Canyon%20Preserve","https://www.google.com/maps/place/32.94085258882723,-116.98058761522034",-116.980588,32.940853,,Poway,92064,6.5,994,
45,Tooth Rock Trail,"https://maps.apple.com/?ll=32.97540959632033,-117.0154420054487&q=Tooth%20Rock%20Trail","https://www.google.com/maps/place/32.97540959632033,-117.0154420054487",-117.015442,32.97541,,Poway,92064,2.7,459,Important:  Stay off private land.
46,Twin Peaks Trail,"https://maps.apple.com/?ll=32.98098219264712,-117.05129571897166&q=Twin%20Peaks%20Trail","https://www.google.com/maps/place/32.98098219264712,-117.05129571897166",-117.051296,32.980982,,Poway,92064,1.6,597,
47,Van Damm Mountain,"https://maps.apple.com/?ll=32.96682834934771,-117.08084829959506&q=Van%20Damm%20Mountain","https://www.google.com/maps/place/32.96682834934771,-117.08084829959506",-117.080848,32.966828,,Poway,92064,2.7,823,
48,Vista Conservancy Nature Trail,https://maps.apple.com/?auid=14724012751092236915,"https://www.google.com/maps/place/33.208861,-117.228487",-117.228487,33.208861,14724012751092236915,Vista,92081,1.5,100,
49,West Side Road,"https://maps.apple.com/?ll=33.00110636400261,-116.75453965485872&q=West%20Side%20Road","https://www.google.com/maps/place/33.00110636400261,-116.75453965485872",-116.75454,33.001106,,Ramona,92065,4.5,859,Not recommended during summer months
50,Wilderness Gardens Preserve,https://maps.apple.com/?auid=11582247172563097173,"https://www.google.com/maps/place/33.346368,-117.026255",-117.026255,33.346368,11582247172563097173,Pala,92059,3.4,282,
